reaction,metabolite,name,formula,carbon_atom
EX_14glucan_e,14glucan_e,"1,4-alpha-D-glucan",C36H62O31,Presence
EX_23camp_e,23camp_e,"2',3'-Cyclic AMP",C10H11N5O6P,Presence
EX_23ccmp_e,23ccmp_e,"2',3'-Cyclic CMP",C9H11N3O7P,Presence
EX_23cgmp_e,23cgmp_e,"2',3'-Cyclic GMP",C10H11N5O7P,Presence
EX_23cump_e,23cump_e,"2',3'-Cyclic UMP",C9H10N2O8P,Presence
EX_25dkglcn_e,25dkglcn_e,"2,5-diketo-D-gluconate",C6H7O7,Presence
EX_2pglyc_e,2pglyc_e,2-Phosphoglycolate,C2H2O6P,Presence
EX_3amp_e,3amp_e,3  AMP C10H12N5O7P,C10H12N5O7P,Presence
EX_3cmp_e,3cmp_e,3  CMP C9H12N3O8P,C9H12N3O8P,Presence
EX_3mb_e,3mb_e,3-Methylbutanoic acid,C5H9O2,Presence
EX_3ump_e,3ump_e,3  UMP C9H11N2O9P,C9H11N2O9P,Presence
EX_4abut_e,4abut_e,4-Aminobutanoate,C4H9NO2,Presence
EX_4hbald_e,4hbald_e,4-Hydroxybenzaldehyde,C7H6O2,Presence
EX_4hbz_e,4hbz_e,4-Hydroxybenzoate,C7H5O3,Presence
EX_4hoxpac_e,4hoxpac_e,4 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
EX_4hpro_LT_e,4hpro_LT_e,Trans 4 Hydroxy L proline C5H9NO3,C5H9NO3,Presence
EX_5drib_e,5drib_e,5'-deoxyribose,C5H10O4,Presence
EX_5mdru1p_e,5mdru1p_e,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,C6H11O7PS,Presence
EX_6atha_e,6atha_e,6 acetylthiohexanoic acid,C2H,Presence
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",C18H30N5O9,Presence
EX_LalaDgluMdap_e,LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",C15H25N4O8,Presence
EX_LalaLglu_e,LalaLglu_e,L-alanine-L-glutamate,C8H13N2O5,Presence
EX_Larab_e,Larab_e,Alpha L Arabinan C15H24O12,C15H24O12,Presence
EX_Lcyst_e,Lcyst_e,L-Cysteate,C3H6NO5S,Presence
EX_R_3hpdeca_e,R_3hpdeca_e, 3 Hydroxy 10 phenyldecanoic acid,C16H17O3,Presence
EX_R_3hphpa_e,R_3hphpa_e, 3 Hydroxy 7 phenylheptanoic acid,C13H13O3,Presence
EX_R_3hpnona_e,R_3hpnona_e, 3 Hydroxy 9 phenylnonanoic acid,C15H15O3,Presence
EX_R_3hpocta_e,R_3hpocta_e, 3 Hydroxy 8 phenyloctanoic acid,C14H15O3,Presence
EX_ac_e,ac_e,Acetate,C2H3O2,Presence
EX_acald_e,acald_e,Acetaldehyde,C2H4O,Presence
EX_acgam_e,acgam_e,N-Acetyl-D-glucosamine,C8H15NO6,Presence
EX_acmana_e,acmana_e,N-Acetyl-D-mannosamine,C8H15NO6,Presence
EX_acnam_e,acnam_e,N-Acetylneuraminate,C11H18NO9,Presence
EX_acon_C_e,acon_C_e,Cis-Aconitate,C6H3O6,Presence
EX_actn__R_e,actn__R_e, R  Acetoin C4H8O2,C4H8O2,Presence
EX_adn_e,adn_e,Adenosine,C10H13N5O4,Presence
EX_agm_e,agm_e,Agmatine,C5H16N4,Presence
EX_akg_e,akg_e,2-Oxoglutarate,C5H4O5,Presence
EX_ala_L_asp__L_e,ala_L_asp__L_e,Ala L asp L C7H11N2O5,C7H11N2O5,Presence
EX_ala_L_glu__L_e,ala_L_glu__L_e,Ala L glu L C8H13N2O5,C8H13N2O5,Presence
EX_ala__L_e,ala__L_e,L-Alanine,C3H7NO2,Presence
EX_alahis_e,alahis_e,L alaninylhistidine,C9H14N4O3,Presence
EX_alaleu_e,alaleu_e,L alaninylleucine,C9H18N2O3,Presence
EX_alathr_e,alathr_e,L alaninylthreonine,C7H14N2O4,Presence
EX_alatrp_e,alatrp_e,L alaninyltryptophan,C14H17N3O3,Presence
EX_anhgm_e,anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,C19H29N2O12,Presence
EX_apc_e,apc_e,Ampicillin,C16H19N3O4S,Presence
EX_arab__L_e,arab__L_e,L-Arabinose,C5H10O5,Presence
EX_arbt6p_e,arbt6p_e,Arbutin 6-phosphate,C12H15O10P,Presence
EX_arbt_e,arbt_e,Arbutin C12H16O7,C12H16O7,Presence
EX_arg__L_e,arg__L_e,L-Arginine,C6H15N4O2,Presence
EX_ascb__L_e,ascb__L_e,L-Ascorbate,C6H8O6,Presence
EX_asn__L_e,asn__L_e,L-Asparagine,C4H8N2O3,Presence
EX_asp__L_e,asp__L_e,L-Aspartate,C4H6NO4,Presence
EX_balaala_e,balaala_e,Beta alanylL alanine,C6H12N2O3,Presence
EX_balabala_e,balabala_e,Beta alanyl beta alanine,C6H12N2O3,Presence
EX_balagly_e,balagly_e,Beta alanylL glycine,C5H10N2O3,Presence
EX_balaleu_e,balaleu_e,Beta alanylL leucine,C9H18N2O3,Presence
EX_balamd_e,balamd_e,Beta Alaninamide,C3H9N2O,Presence
EX_btn_e,btn_e,Biotin,C10H15N2O3S,Presence
EX_but_e,but_e,Butyrate (n-C4:0),C4H7O2,Presence
EX_buts_e,buts_e,Butanesulfonate C4H9O3S,C4H9O3S,Presence
EX_butso3_e,butso3_e,Butanesulfonate,C4H9O3S,Presence
EX_bz_e,bz_e,Benzoate,C7H5O2,Presence
EX_carn_e,carn_e,L-Carnosine,C9H14N4O3,Presence
EX_cellb_e,cellb_e,Cellobiose,C12H22O11,Presence
EX_cgly_e,cgly_e,Cys Gly C5H10N2O3S,C5H10N2O3S,Presence
EX_chol_e,chol_e,Choline C5H14NO,C5H14NO,Presence
EX_chols_e,chols_e,Choline sulfate,C5H13NO4S,Presence
EX_cit_e,cit_e,Citrate,C6H5O7,Presence
EX_cm_e,cm_e,Chloramphenicol,C11H12Cl2N2O5,Presence
EX_cmcbtt_e,cmcbtt_e,"Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)",C33H48N5O13,Presence
EX_co2_e,co2_e,CO2 CO2,CO2,Presence
EX_co_e,co_e,Carbon monoxide,CO,Presence
EX_crn_e,crn_e,L-Carnitine,C7H15NO3,Presence
EX_crtn_e,crtn_e,Creatinine,C4H7N3O,Presence
EX_cyan_e,cyan_e,Hydrogen cyanide,CHN,Presence
EX_cys__L_e,cys__L_e,L-Cysteine,C3H7NO2S,Presence
EX_cytd_e,cytd_e,Cytidine,C9H13N3O5,Presence
EX_dca_e,dca_e,Decanoate (n-C10:0),C10H19O2,Presence
EX_dextrin_e,dextrin_e,Dextrin C12H20O10,C12H20O10,Presence
EX_dha_e,dha_e,Dihydroxyacetone,C3H6O3,Presence
EX_dmgly_e,dmgly_e,"N,N-Dimethylglycine",C4H9NO2,Presence
EX_dmso2_e,dmso2_e,Dimethyl sulfone,C2H10O2S,Presence
EX_doxrbcn_e,doxrbcn_e,Doxorubicin,C27H30NO11,Presence
EX_drib_e,drib_e,Deoxyribose C5H10O4,C5H10O4,Presence
EX_dxyl_e,dxyl_e,1-deoxy-D-xylulose,C5H10O4,Presence
EX_ecto__L_e,ecto__L_e,L Ectoine,C6H10N2O2,Presence
EX_enter_e,enter_e,Enterochelin,C30H26N3O15,Presence
EX_etha_e,etha_e,Ethanolamine,C2H8NO,Presence
EX_eths_e,eths_e,Ethanesulfonate C2H5O3S,C2H5O3S,Presence
EX_ethso3_e,ethso3_e,Ethanesulfonate,C2H5O3S,Presence
EX_etoh_e,etoh_e,Ethanol,C2H6O,Presence
EX_fald_e,fald_e,Formaldehyde,CH2O,Presence
EX_fcmcbtt_e,fcmcbtt_e,"Iron(III) chelated carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)",C33FeH48N5O13,Presence
EX_fe3dcit_e,fe3dcit_e,Fe(III)dicitrate,C12FeH10O14,Presence
EX_fe3dhbzs3_e,fe3dhbzs3_e,2-3-dihydroxybenzoylserine trimer-Fe-III,C30FeH28N3O16,Presence
EX_fe3dhbzs_e,fe3dhbzs_e,"Ferric 2,3-dihydroxybenzoylserine",C10H10FeNO6,Presence
EX_fe3pyovd_kt_e,fe3pyovd_kt_e,Ferrypyoverdine  P putida KT2440 specific,C27FeH48N10O15,Presence
EX_feenter_e,feenter_e,Fe-enterobactin,C30FeH26N3O15,Presence
EX_fol_e,fol_e,Folate,C19H17N7O6,Presence
EX_for_e,for_e,Formate,CHO2,Presence
EX_fru_e,fru_e,D-Fructose,C6H12O6,Presence
EX_frulys_e,frulys_e,Fructoselysine,C12H25N2O7,Presence
EX_fum_e,fum_e,Fumarate,C4H2O4,Presence
EX_fusa_e,fusa_e,Fusidic acid,C31H47O6,Presence
EX_g3pc_e,g3pc_e,Sn-Glycero-3-phosphocholine,C8H20NO6P,Presence
EX_g3pg_e,g3pg_e,Glycerophosphoglycerol,C6H14O8P,Presence
EX_g3pi_e,g3pi_e,Sn-Glycero-3-phospho-1-inositol,C9H18O11P,Presence
EX_g3ps_e,g3ps_e,Glycerophosphoserine,C6H13NO8P,Presence
EX_gal_bD_e,gal_bD_e,Beta D-Galactose,C6H12O6,Presence
EX_gal_e,gal_e,D-Galactose,C6H12O6,Presence
EX_galctn__D_e,galctn__D_e,D-Galactonate,C6H11O7,Presence
EX_galctn__L_e,galctn__L_e,L-Galactonate,C6H11O7,Presence
EX_galman4_e,galman4_e,"Galactomannan(n=4 repeat units mannose, alpha-1,4 man)",C24H42O21,Presence
EX_galman6_e,galman6_e,"Galactomannan(n=6 repeat units mannose, alpha-1,4 man)",C36H62O31,Presence
EX_galt_e,galt_e,Galactitol,C6H14O6,Presence
EX_galur_e,galur_e,D-Galacturonate,C6H9O7,Presence
EX_gam_e,gam_e,D-Glucosamine,C6H14NO5,Presence
EX_glc__D_e,glc__D_e,D-Glucose,C6H12O6,Presence
EX_glc__aD_e,glc__aD_e,Alpha D-glucose,C6H12O6,Presence
EX_glcman4_e,glcman4_e,"Glucomannan (n=4 repeat units, glc beta-1,4 man)",C24H42O21,Presence
EX_glcman6_e,glcman6_e,"Glucomannan (n=6 repeat units, glc beta-1,4 man)",C36H62O31,Presence
EX_glcur_e,glcur_e,D-Glucuronate,C6H9O7,Presence
EX_gln__L_e,gln__L_e,L-Glutamine,C5H10N2O3,Presence
EX_glu__L_e,glu__L_e,L-Glutamate,C5H8NO4,Presence
EX_glucan4_e,glucan4_e,"Beta-1,3/1,4-glucan (Barley, n=4, Glc beta1->3,4 Glc)",C24H42O21,Presence
EX_glucan6_e,glucan6_e,"Beta-1,3/1,4-glucan (Barley, n=6, Glc beta1->3,4 Glc)",C36H62O31,Presence
EX_gly_asn__L_e,gly_asn__L_e,Gly asn L C6H11N3O4,C6H11N3O4,Presence
EX_gly_asp__L_e,gly_asp__L_e,Gly asp L C6H9N2O5,C6H9N2O5,Presence
EX_gly_e,gly_e,Glycine,C2H5NO2,Presence
EX_gly_glu__L_e,gly_glu__L_e,Gly glu L C7H11N2O5,C7H11N2O5,Presence
EX_gly_pro__L_e,gly_pro__L_e,Gly pro L C7H12N2O3,C7H13N2O3,Presence
EX_glyb_e,glyb_e,Glycine betaine,C5H11NO2,Presence
EX_glyc2p_e,glyc2p_e,Glycerol 2-phosphate,C3H7O6P,Presence
EX_glyc3p_e,glyc3p_e,Glycerol 3-phosphate,C3H7O6P,Presence
EX_glyc_e,glyc_e,Glycerol,C3H8O3,Presence
EX_glygln_e,glygln_e,L glycinylglutamine,C7H13N3O4,Presence
EX_glyglu_e,glyglu_e,L glycinylglutamate,C7H11N2O5,Presence
EX_glygly_e,glygly_e,Glycylglycine C4H8N2O3,C4H8N2O3,Presence
EX_glymet_e,glymet_e,L Glycinylmethionine,C7H14N2O3S,Presence
EX_glyphe_e,glyphe_e,Glycylphenylalanine,C11H14N2O3,Presence
EX_glyser_e,glyser_e,L glycinylserine,C5H10N2O4,Presence
EX_gsn_e,gsn_e,Guanosine,C10H13N5O5,Presence
EX_gthrd_e,gthrd_e,Reduced glutathione,C10H16N3O6S,Presence
EX_gua_e,gua_e,Guanine,C5H5N5O,Presence
EX_hco3_e,hco3_e,Bicarbonate,CHO3,Presence
EX_hexs_e,hexs_e,Hexanesulfonate C6H13O3S,C6H13O3S,Presence
EX_his__L_e,his__L_e,L-Histidine,C6H9N3O2,Presence
EX_hisgly_e,hisgly_e,L histidinylglycine,C8H12N4O3,Presence
EX_hishis_e,hishis_e,L histidinylhistidine,C12H16N6O3,Presence
EX_hom__L_e,hom__L_e,L-Homoserine,C4H9NO3,Presence
EX_hpta_e,hpta_e,Heptanoate,C7H11O2,Presence
EX_hxa_e,hxa_e,Hexanoate (n-C6:0),C6H11O2,Presence
EX_hxan_e,hxan_e,Hypoxanthine,C5H4N4O,Presence
EX_ibt_e,ibt_e,Isobutyrate,C4H7O2,Presence
EX_icit_e,icit_e,Isocitrate,C6H5O7,Presence
EX_ile__L_e,ile__L_e,L-Isoleucine,C6H13NO2,Presence
EX_ind3ac_e,ind3ac_e,Indole 3 acetate C10H8NO2,C10H8NO2,Presence
EX_indole_e,indole_e,Indole,C8H7N,Presence
EX_inost_e,inost_e,Myo-Inositol,C6H12O6,Presence
EX_ins_e,ins_e,Inosine,C10H12N4O5,Presence
EX_isetac_e,isetac_e,Isethionic acid,C2H5O4S,Presence
EX_istfrnA_e,istfrnA_e,Iron bound extracellular staphyloferrin A,C17FeH24N2O14,Presence
EX_istnt_e,istnt_e,Isethionate C2H5O4S,C2H5O4S,Presence
EX_lac__D_e,lac__D_e,D-Lactate,C3H5O3,Presence
EX_lac__L_e,lac__L_e,L-Lactate,C3H5O3,Presence
EX_lcts_e,lcts_e,Lactose C12H22O11,C12H22O11,Presence
EX_leu__L_e,leu__L_e,L-Leucine,C6H13NO2,Presence
EX_leuleu_e,leuleu_e,Leucylleucine,C12H24N2O3,Presence
EX_lmn2_e,lmn2_e,Laminaribiose,C12H22O11,Presence
EX_lnlc_e,lnlc_e,Linoleic acid (all cis C18:2) n-6,C18H31O2,Presence
EX_lys__D_e,lys__D_e,D-Lysine,C6H15N2O2,Presence
EX_lys__L_e,lys__L_e,L-Lysine,C6H15N2O2,Presence
EX_m_xyl_e,m_xyl_e,M-Xylene,C8H10,Presence
EX_mal__D_e,mal__D_e,D-Malate,C4H4O5,Presence
EX_mal__L_e,mal__L_e,L-Malate,C4H4O5,Presence
EX_malt_e,malt_e,Maltose C12H22O11,C12H22O11,Presence
EX_malthp_e,malthp_e,Maltoheptaose,C42H72O36,Presence
EX_malthx_e,malthx_e,Maltohexaose,C36H62O31,Presence
EX_malttr_e,malttr_e,Maltotriose C18H32O16,C18H32O16,Presence
EX_maltttr_e,maltttr_e,Maltotetraose,C24H42O21,Presence
EX_man_e,man_e,D-Mannose,C6H12O6,Presence
EX_manttr_e,manttr_e,Mannotetraose,C24H42O21,Presence
EX_melib_e,melib_e,Melibiose C12H22O11,C12H22O11,Presence
EX_meoh_e,meoh_e,Methanol,CH4O,Presence
EX_met_L_ala__L_e,met_L_ala__L_e,Met L ala L C8H16N2O3S,C8H15N2O3S,Presence
EX_met__D_e,met__D_e,D-Methionine,C5H11NO2S,Presence
EX_met__L_e,met__L_e,L-Methionine,C5H11NO2S,Presence
EX_metox__R_e,metox__R_e,L methionine R oxide C5H11NO3S,C5H11NO3S,Presence
EX_metox_e,metox_e,L Methionine S oxide C5H11NO3S,C5H11NO3S,Presence
EX_mnl1p_e,mnl1p_e,D-Mannitol 1-phosphate,C6H13O9P,Presence
EX_mnl_e,mnl_e,D-Mannitol,C6H14O6,Presence
EX_mso3_e,mso3_e,Methanesulfonate,CH3O3S,Presence
EX_nmn_e,nmn_e,NMN C11H14N2O8P,C11H14N2O8P,Presence
EX_nona_e,nona_e,Nonanoate C9H17O2,C9H17O2,Presence
EX_novbcn_e,novbcn_e,Novobiocin,C31H35N2O11,Presence
EX_oaa_e,oaa_e,Oxaloacetate,C4H2O5,Presence
EX_octa_e,octa_e,Octanoate (n-C8:0),C8H15O2,Presence
EX_orn_e,orn_e,Ornithine,C5H13N2O2,Presence
EX_orot_e,orot_e,Orotate C5H3N2O4,C5H3N2O4,Presence
EX_oxa_e,oxa_e,Oxalate,C2O4,Presence
EX_p_xyl_e,p_xyl_e,P-methyltoluene,C8H10,Presence
EX_pacald_e,pacald_e,Phenylacetaldehyde,C8H8O,Presence
EX_peamn_e,peamn_e,Phenethylamine,C8H12N,Presence
EX_pentso3_e,pentso3_e,Pentanesulfonate,C5H11O3S,Presence
EX_phe__L_e,phe__L_e,L-Phenylalanine,C9H11NO2,Presence
EX_phedca_e,phedca_e,10 Phenyldecanoic acid,C16H15O2,Presence
EX_phehpa_e,phehpa_e,7 Phenylheptanoic acid,C13H11O2,Presence
EX_phehxa_e,phehxa_e,6 Phenylhexanoic acid,C12H11O2,Presence
EX_pheme_e,pheme_e,Protoheme C34H30FeN4O4,C34H30FeN4O4,Presence
EX_phenona_e,phenona_e,9 Phenylnonanoic acid,C15H13O2,Presence
EX_pheocta_e,pheocta_e,8 Phenyloctanoic acid,C14H13O2,Presence
EX_phept_e,phept_e,5 phenylvaleric acid,C11H9O2,Presence
EX_pime_e,pime_e,Pimelate,C7H10O4,Presence
EX_ppa_e,ppa_e,Propionate (n-C3:0),C3H5O2,Presence
EX_ppoh_e,ppoh_e,1-Propanol,C3H8O,Presence
EX_pro__L_e,pro__L_e,L-Proline,C5H9NO2,Presence
EX_progly_e,progly_e,L-Prolinylglycine,C7H12N2O3,Presence
EX_prohisglu_e,prohisglu_e,Proline-histidine-glutamine tripeptide,C16H24N5O7,Presence
EX_pta_e,pta_e,Pentanoate,C5H9O2,Presence
EX_ptrc_e,ptrc_e,Putrescine,C4H14N2,Presence
EX_ptsla_e,ptsla_e,Petroselaidic acid,C18H30O2,Presence
EX_pydxn_e,pydxn_e,Pyridoxine,C8H11NO3,Presence
EX_pyovd_kt_e,pyovd_kt_e,Pyoverdine  P putida specific,C27H48N10O15,Presence
EX_pyr_e,pyr_e,Pyruvate,C3H3O3,Presence
EX_raffin_e,raffin_e,Raffinose C18H32O16,C18H32O16,Presence
EX_rib__D_e,rib__D_e,D-Ribose,C5H10O5,Presence
EX_rmn_e,rmn_e,L-Rhamnose,C6H12O5,Presence
EX_rnam_e,rnam_e,N Ribosylnicotinamide C11H15N2O5,C11H15N2O5,Presence
EX_salc_e,salc_e,Salicylate,C7H5O3,Presence
EX_salchs4_e,salchs4_e,Salmochelin-S4,C42H46N3O25,Presence
EX_salchs4fe_e,salchs4fe_e,Salmochelin-S4-Fe-III,C42FeH46N3O25,Presence
EX_sbt__D_e,sbt__D_e,D-Sorbitol,C6H14O6,Presence
EX_ser__L_e,ser__L_e,L-Serine,C3H7NO3,Presence
EX_serglugly_e,serglugly_e,Serine-glutamine-glycine tripeptide,C10H18N3O8,Presence
EX_sheme_e,sheme_e,Siroheme C42H36FeN4O16,C42H36FeN4O16,Presence
EX_skm_e,skm_e,Shikimate,C7H9O5,Presence
EX_spmd_e,spmd_e,Spermidine,C7H22N3,Presence
EX_stfrnA_e,stfrnA_e,Staphyloferrin A,C17H24N2O14,Presence
EX_sucr_e,sucr_e,Sucrose C12H22O11,C12H22O11,Presence
EX_sula_e,sula_e,Sulfoacetate C2H2O5S,C2H2O5S,Presence
EX_sulfac_e,sulfac_e,Sulfoacetate,C2H2O5S,Presence
EX_tartr__D_e,tartr__D_e,D-tartrate,C4H4O6,Presence
EX_tartr__L_e,tartr__L_e,L-tartrate,C4H4O6,Presence
EX_taur_e,taur_e,Taurine C2H7NO3S,C2H7NO3S,Presence
EX_tcynt_e,tcynt_e,Thiocyanate,CNS,Presence
EX_thm_e,thm_e,Thiamin,C12H17N4OS,Presence
EX_thr__L_e,thr__L_e,L-Threonine,C4H9NO3,Presence
EX_thym_e,thym_e,Thymine C5H6N2O2,C5H6N2O2,Presence
EX_tol_e,tol_e,Toluene,C7H8,Presence
EX_tre_e,tre_e,Trehalose,C12H22O11,Presence
EX_trp__L_e,trp__L_e,L-Tryptophan,C11H12N2O2,Presence
EX_ttrcyc_e,ttrcyc_e,Tetracycline,C22H24N2O8,Presence
EX_tyr__L_e,tyr__L_e,L-Tyrosine,C9H11NO3,Presence
EX_udcpp_e,udcpp_e,Undecaprenyl phosphate,C55H90O4P,Presence
EX_ura_e,ura_e,Uracil,C4H4N2O2,Presence
EX_urea_e,urea_e,Urea CH4N2O,CH4N2O,Presence
EX_uri_e,uri_e,Uridine,C9H12N2O6,Presence
EX_vacc_e,vacc_e,Vaccenic acid,C18H33O2,Presence
EX_val__D_e,val__D_e,D Valine,C5H9NO2,Presence
EX_val__L_e,val__L_e,L-Valine,C5H11NO2,Presence
EX_vanln_e,vanln_e,Vanillin,C8H8O3,Presence
EX_xyl3_e,xyl3_e,Xylotriose,C15H26O13,Presence
EX_xyl__D_e,xyl__D_e,D-Xylose,C5H10O5,Presence
EX_xylan4_e,xylan4_e,"Xylan (4 backbone units, 1 glcur side chain)",C26H41O23,Presence
EX_xylan8_e,xylan8_e,"Xylan (8 backbone units, 2 glcur side chain)",C52H80O45,Presence
EX_xylb_e,xylb_e,Xylobiose,C10H18O9,Presence
EX_xylu__L_e,xylu__L_e,L-Xylulose,C5H10O5,Presence
EX_succ_e,succ_e,Succinate,C4H4O4,Presence
12DGR140tipp,12dgr140_p,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,Presence
12DGR140tipp,12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,Presence
12DGR141tipp,12dgr141_p,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,Presence
12DGR141tipp,12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,Presence
12DGR160tipp,12dgr160_p,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,Presence
12DGR160tipp,12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,Presence
12DGR161tipp,12dgr161_p,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,Presence
12DGR161tipp,12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,Presence
12DGR180tipp,12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,Presence
12DGR180tipp,12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,Presence
12DGR181tipp,12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,Presence
12DGR181tipp,12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,Presence
13PPDH,3hppnl_c,3-Hydroxypropanal,C3H6O2,Presence
13PPDH,nadh_c,Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,Presence
13PPDH,13ppd_c,"1,3-Propanediol",C3H8O2,Presence
13PPDH,nad_c,Nicotinamide adenine dinucleotide,C21H26N7O14P2,Presence
14GLUCANabcpp,14glucan_p,"1,4-alpha-D-glucan",C36H62O31,Presence
14GLUCANabcpp,atp_c,ATP C10H12N5O13P3,C10H12N5O13P3,Presence
14GLUCANabcpp,14glucan_c,"1,4-alpha-D-glucan",C36H62O31,Presence
14GLUCANabcpp,adp_c,ADP C10H12N5O10P2,C10H12N5O10P2,Presence
14GLUCANtexi,14glucan_e,"1,4-alpha-D-glucan",C36H62O31,Presence
14GLUCANtexi,14glucan_p,"1,4-alpha-D-glucan",C36H62O31,Presence
1P2CBXLCYCL,5a2opntn_c,5-Amino-2-oxopentanoate,C5H9NO3,Presence
1P2CBXLCYCL,1p2cbxl_c,1-Pyrroline-2-carboxylate,C5H6NO2,Presence
1P2CBXLR,1p2cbxl_c,1-Pyrroline-2-carboxylate,C5H6NO2,Presence
1P2CBXLR,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,Presence
1P2CBXLR,nadp_c,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,Presence
1P2CBXLR,pro__L_c,L-Proline,C5H9NO2,Presence
1PPDCRc,1pipdn2c_c,Delta1-Piperideine-2-carboxylate,C6H9NO2,Presence
1PPDCRc,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,Presence
1PPDCRc,Lpipecol_c,L-pipecolic acid; piperidine-2-carboxylic acid,C6H11NO2,Presence
1PPDCRc,nadp_c,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,Presence
1PY4h3cAH,1py4h3c_c,1 pyrroline 4 hydroxy 2 carboxylate,C5H6NO3,Presence
1PY4h3cAH,25dop_c,2 5 Dioxopentanoate C5H5O4,C5H5O4,Presence
23CAMPtex,23camp_e,"2',3'-Cyclic AMP",C10H11N5O6P,Presence
23CAMPtex,23camp_p,"2',3'-Cyclic AMP",C10H11N5O6P,Presence
23CCMPtex,23ccmp_e,"2',3'-Cyclic CMP",C9H11N3O7P,Presence
23CCMPtex,23ccmp_p,"2',3'-Cyclic CMP",C9H11N3O7P,Presence
23CGMPtex,23cgmp_e,"2',3'-Cyclic GMP",C10H11N5O7P,Presence
23CGMPtex,23cgmp_p,"2',3'-Cyclic GMP",C10H11N5O7P,Presence
23CTI1,decoa_c,1-decanoyl-CoA,C31H49N7O17P3S,Presence
23CTI1,dc2coa_c,Trans-Dec-2-enoyl-CoA,C31H48N7O17P3S,Presence
23CTI2,dded3coa_c,Cis dodedec 3 enoyl CoAdodedecenoyl CoA  n C121d3CoA,C33H52N7O17P3S,Presence
23CTI2,dd2coa_c,Trans-Dodec-2-enoyl-CoA,C33H52N7O17P3S,Presence
23CTI3,dd_3_6_coa_c,Cis cis dodedec 3 6 dienoyl CoA,C33H48N7O17P3S,Presence
23CTI3,dd6_2_coa_c,Trans cis dodedec 2 6 dienoyl CoA,C33H48N7O17P3S,Presence
23CUMPtex,23cump_e,"2',3'-Cyclic UMP",C9H10N2O8P,Presence
23CUMPtex,23cump_p,"2',3'-Cyclic UMP",C9H10N2O8P,Presence
23PDE2pp,23cump_p,"2',3'-Cyclic UMP",C9H10N2O8P,Presence
23PDE2pp,3ump_p,3  UMP C9H11N2O9P,C9H11N2O9P,Presence
23PDE4pp,23ccmp_p,"2',3'-Cyclic CMP",C9H11N3O7P,Presence
23PDE4pp,3cmp_p,3  CMP C9H12N3O8P,C9H12N3O8P,Presence
23PDE7pp,23camp_p,"2',3'-Cyclic AMP",C10H11N5O6P,Presence
23PDE7pp,3amp_p,3  AMP C10H12N5O7P,C10H12N5O7P,Presence
23PDE9pp,23cgmp_p,"2',3'-Cyclic GMP",C10H11N5O7P,Presence
23PDE9pp,3gmp_p,Guanosine 3  phosphate C10H12N5O8P,C10H12N5O8P,Presence
24DECOAR,dec4_2_coa_c,2 trans 4 cis decadienoyl CoA,C31H46N7O17P3S,Presence
24DECOAR,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,Presence
24DECOAR,dc2coa_c,Trans-Dec-2-enoyl-CoA,C31H48N7O17P3S,Presence
24DECOAR,nadp_c,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,Presence
25DKGLCNt2rpp,25dkglcn_p,"2,5-diketo-D-gluconate",C6H7O7,Presence
25DKGLCNt2rpp,25dkglcn_c,"2,5-diketo-D-gluconate",C6H7O7,Presence
25DKGLCNtex,25dkglcn_e,"2,5-diketo-D-gluconate",C6H7O7,Presence
